,kingdom,phylum,class,order,family,genus,species
650fc9e494171f1dd894c20eb445d029,Eukaryota,Ascomycota,Dothideomycetes,NA,NA,Neocelosporium,Neocelosporium corymbiae
3917d584ec5bddc9bf55114c667e9453,Eukaryota,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Tyrannosorus,Tyrannosorus hystrioides
87e06a08edc25a883981adb91255c8ad,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
5cbd2520e363cbb8c3a2f70b85de12d5,Eukaryota,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium aggregatocicatricatum
57167a288bcc5611795d808e2cb807a5,Eukaryota,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,NA,NA
924932d0a00062b0e82cd920eb49ef4c,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Neomicrosphaeropsis,Neomicrosphaeropsis tamaricicola
2606111e2cddeaa2ae2d2261106f5d84,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Juncaceicola,Juncaceicola dactylidis
1fd0b3f890015786bc3657c5bd11b22b,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Keissleriella,Keissleriella dactylis
30b950631b31d1542f09d2579d1a64ba,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Readeriella,Readeriella pseudocallista
f132c69d37f2aec5a5301512ee83eb20,Eukaryota,Ascomycota,Dothideomycetes,Mytilinidiales,Mytilinidiaceae,Lophium,Lophium arboricola
ed1c5eb0a9f0acbc117efe534a94befd,Eukaryota,Basidiomycota,NA,NA,NA,NA,NA
d587cf7419d0e3fe3d40a7aac55f351b,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Nodulosphaeria,Nodulosphaeria thalictri
dcfb89367684e8a1c2d2decb36a53504,Eukaryota,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Tyrannosorus,Tyrannosorus hystrioides
